Opcode: 0xE8 | A: 0x00 | X: 0x17 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x18 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x18 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x18 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x19 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x19 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x19 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x1A | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x1A | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x1A | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x1B | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x1B | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x1B | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x1C | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x1C | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x1C | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x1D | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x1D | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x1D | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x1E | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x1E | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x1E | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x1F | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x1F | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x1F | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
